category,keyword,pearson_r,p_value,n_months,p_adj_bh,significant
Housing_rent_and_stress,cost_of_living,-0.7455,0.0,72,0.0,True
Housing_rent_and_stress,eviction_notice,-0.776,0.0,72,0.0,True
Inflation,beef_prices,0.5351,0.0,72,5e-06,True
Inflation,mortgage_rates,0.3361,0.0039,72,0.008421,True
Inflation,heating_cost,0.0341,0.7761,72,0.831034,False
Inflation,dining_out_prices,0.0336,0.7988,60,0.84719,False
Inflation,energy_prices,-0.0304,0.7997,72,0.84719,False
Inflation,coffee_price,-0.0544,0.65,72,0.717643,False
Inflation,living_expenses,-0.0612,0.6094,72,0.681835,False
Inflation,egg_price,-0.1346,0.2598,72,0.329032,False
Inflation,used_car_prices,-0.1828,0.1244,72,0.172421,False
Inflation,gas_prices,-0.1931,0.1041,72,0.147144,False
Inflation,water_bill,-0.1985,0.0945,72,0.135514,False
Inflation,fuel_prices,-0.2384,0.0437,72,0.067312,False
Inflation,bread_price,-0.2479,0.0358,72,0.057062,False
Inflation,milk_price,-0.253,0.032,72,0.05223,False
Inflation,monthly_expenses,-0.2596,0.0277,72,0.046349,True
Inflation,grocery_inflation,-0.2617,0.0264,72,0.044517,True
Inflation,utility_bill,-0.2725,0.0206,72,0.035664,True
Inflation,clothing_inflation,-0.273,0.0203,72,0.035314,True
Inflation,insurance_cost,-0.2781,0.018,72,0.032052,True
Inflation,natural_gas_bill,-0.3007,0.0103,72,0.019352,True
Inflation,electric_bill,-0.3052,0.0091,72,0.017472,True
Inflation,tuition_fees,-0.3069,0.0087,72,0.016913,True
Inflation,transportation_costs,-0.3213,0.0059,72,0.011962,True
Inflation,wage_increase,-0.3244,0.0054,72,0.011115,True
Inflation,new_car_prices,-0.3377,0.0037,72,0.008104,True
Inflation,student_expenses,-0.3409,0.0034,72,0.007415,True
Inflation,inflation_rate,-0.3589,0.002,72,0.004507,True
Inflation,healthcare_cost,-0.3898,0.0007,72,0.00177,True
Inflation,medical_cost,-0.3994,0.0005,72,0.001297,True
Inflation,CPI,-0.3996,0.0005,72,0.001294,True
Inflation,college_tuition,-0.4024,0.0005,72,0.001179,True
Inflation,consumer_price_index,-0.4092,0.0004,72,0.00095,True
Inflation,groceries_prices,-0.42,0.0002,72,0.000659,True
Inflation,cost_of_living_calculator,-0.4461,0.0001,72,0.000249,True
Inflation,car_prices,-0.456,0.0001,72,0.000172,True
Inflation,rent_prices,-0.4705,0.0,72,9.7e-05,True
Inflation,minimum_wage,-0.4714,0.0,72,9.3e-05,True
Inflation,budgeting,-0.4768,0.0,72,7.4e-05,True
Inflation,clothing_prices,-0.4969,0.0,72,3.1e-05,True
Inflation,chicken_prices,-0.4971,0.0,72,3.1e-05,True
Inflation,public_transit_cost,-0.5095,0.0,72,1.8e-05,True
Inflation,beer_prices,-0.5389,0.0,72,4e-06,True
Inflation,housing_costs,-0.5515,0.0,72,2e-06,True
Inflation,entertainment_cost,-0.57,0.0,72,1e-06,True
Inflation,childcare_cost,-0.5858,0.0,72,0.0,True
Inflation,salary_calculator,-0.5955,0.0,72,0.0,True
Inflation,food_budget,-0.6025,0.0,72,0.0,True
Inflation,cost_of_living,-0.7455,0.0,72,0.0,True
Inflation,food_prices,-0.7527,0.0,72,0.0,True
Inflation,restaurant_prices,-0.7622,0.0,72,0.0,True
Insurance,claim_status,0.9657,0.0,72,0.0,True
Insurance,malpractice_insurance,0.5158,0.0,72,1.3e-05,True
Insurance,COBRA_insurance,0.3699,0.0014,72,0.003307,True
Insurance,medigap,0.2577,0.0288,72,0.048006,True
Insurance,medicare_supplement,0.2375,0.0445,72,0.068365,False
Insurance,business_insurance,0.213,0.0725,72,0.106363,False
Insurance,insurance_agent,0.1427,0.2319,72,0.298188,False
Insurance,renters_insurance,0.0783,0.5135,72,0.591716,False
Insurance,homeowners_insurance_quote,0.0628,0.6004,72,0.674932,False
Insurance,home_insurance,0.0388,0.7462,72,0.800768,False
Insurance,term_life_insurance,0.0139,0.9075,72,0.926018,False
Insurance,life_insurance,-0.0256,0.8311,72,0.867583,False
Insurance,earthquake_insurance,-0.0296,0.8053,72,0.851339,False
Insurance,flood_insurance,-0.08,0.5044,72,0.585482,False
Insurance,ACA_marketplace,-0.0804,0.5018,72,0.585069,False
Insurance,pet_insurance,-0.1191,0.3189,72,0.391899,False
Insurance,cheap_health_insurance,-0.1403,0.2398,72,0.306036,False
Insurance,policy_renewal,-0.1458,0.2216,72,0.285745,False
Insurance,gap_insurance,-0.1496,0.2099,72,0.271333,False
Insurance,health_insurance_quote,-0.1543,0.1957,72,0.256162,False
Insurance,insurance_premium,-0.1681,0.1581,72,0.210388,False
Insurance,workers_compensation_insurance,-0.182,0.126,72,0.174181,False
Insurance,liability_insurance,-0.2338,0.0481,72,0.072989,False
Insurance,whole_life_insurance,-0.2507,0.0337,72,0.054385,False
