date,ride share
2019-12-01,42.91278812056738
2020-01-01,55.131023348236454
2020-02-01,48.54258443465492
2020-03-01,30.065939063210546
2020-04-01,17.72240618101545
2020-05-01,17.404791154791155
2020-06-01,20.689047619047617
2020-07-01,21.392978482446207
2020-08-01,24.067100792751983
2020-09-01,19.653686087990486
2020-10-01,19.751150146382265
2020-11-01,21.748355263157894
2020-12-01,20.933067375886523
2021-01-01,23.46000993541977
2021-02-01,28.894395496818404
2021-03-01,31.139722601182353
2021-04-01,36.4873068432671
2021-05-01,36.743447993447994
2021-06-01,39.579047619047614
2021-07-01,40.11183465458664
2021-08-01,40.11183465458664
2021-09-01,38.371482362267145
2021-10-01,40.48985780008365
2021-11-01,38.31853070175438
2021-12-01,37.67952127659574
2022-01-01,42.228017883755584
2022-02-01,52.009911894273124
2022-03-01,55.836743974533874
2022-04-01,55.252207505518754
2022-05-01,58.98290335790335
2022-06-01,53.97142857142856
2022-07-01,49.02557568893922
2022-08-01,48.134201585503966
2022-09-01,54.2816091954023
2022-10-01,54.31566290255123
2022-11-01,53.85307017543859
2022-12-01,53.37932180851064
2023-01-01,62.16902632886239
2023-02-01,63.56767009300049
2023-03-01,62.279445202364705
2023-04-01,60.46467991169977
2023-05-01,61.88370188370188
2023-06-01,62.06714285714285
2023-07-01,57.04794261985655
2023-08-01,57.04794261985655
2023-09-01,61.76872770511296
2023-10-01,63.20368046842325
2023-11-01,61.102521929824555
2023-12-01,56.51928191489362
2024-01-01,65.68802781917535
2024-02-01,71.65810083210964
2024-03-01,76.23863119599817
2024-04-01,74.0171081677704
2024-05-01,65.75143325143326
2024-06-01,62.06714285714285
2024-07-01,57.04794261985655
2024-08-01,60.61343903359759
2024-09-01,66.44817677368212
2024-10-01,65.17879548306148
2024-11-01,62.138157894736835
2024-12-01,61.752548758865245
2025-01-01,70.3800298062593
2025-02-01,78.59275575134606
2025-03-01,75.16484765802637
2025-04-01,72.9746136865342
2025-05-01,67.68529893529893
2025-06-01,70.16285714285713
2025-07-01,82.89779161947905
2025-08-01,72.20130237825595
2025-09-01,70.19173602853745
2025-10-01,74.0668130489335
2025-11-01,94.24287280701753
2025-12-01,104.66533687943263
